开盘,最高,最低,收盘,成交量
11.21,11.27,11.1,11.11,12263428
11.14,11.28,11.08,11.22,12106621
11.38,11.43,11.19,11.38,21080000
11.65,12.1,11.52,11.91,54958504
11.78,11.93,11.67,11.87,24919400
11.92,12.25,11.82,11.9,38030560
11.95,12.32,11.92,12.04,43589416
12.27,12.53,12.08,12.13,37192044
12.05,12.07,11.65,11.93,29657588
11.88,12.14,11.8,11.94,17726940
12.23,12.42,12,12.27,47189800
12.25,12.25,11.67,11.72,28525182
11.87,12.3,11.7,12.29,33944672
12.44,12.83,12.36,12.66,48050032
12.7,13,12.47,12.81,48779520
12.75,13.06,12.57,12.91,43224808
13.06,14.19,12.95,13.93,74306888
13.85,14.1,13.75,14.04,42738460
14.1,14.55,13.56,13.64,59034480
13.62,14.35,13.49,14.04,68177072
13.98,14.24,13.6,13.64,43135376
13.74,14.03,13.4,13.79,34694900
13.75,13.85,13.13,13.17,39120736
13.13,13.41,12.77,13.36,42341000
13.32,13.45,12.88,12.97,30651284
12.97,13.44,12.94,13.42,27617556
13.26,13.82,13.2,13.71,37341624
13.72,13.79,13.38,13.45,32164200
13.26,13.68,13.17,13.33,28149208
13.34,13.41,12.3,12.45,63197632
12.47,12.62,12.2,12.36,24697212
12.31,12.35,11.44,11.7,50961488
11.62,11.81,11.25,11.75,25365626
11.75,11.87,11.59,11.8,23386684
11.82,12.01,11.68,11.69,16782656
11.82,11.95,11.1,11.16,34254104
11.1,11.33,10.65,10.84,28424292
10.86,11.12,10.72,11.01,22834864
10.98,11.3,10.98,11.13,18519140
11.15,11.2,11.07,11.19,15726315
11.25,11.44,11.08,11.4,26659944
11.33,11.38,11.11,11.19,26081500
11.16,11.25,11.1,11.19,13186003
11.18,11.19,10.61,10.66,35034428
10.66,11,10.62,10.95,22570712
10.99,11.15,10.9,10.95,17981788
10.95,11.3,10.93,11.29,26330312
11.25,11.38,11.18,11.19,17441584
11.17,11.34,11.17,11.24,17415460
11.29,11.69,11.27,11.53,34147684
11.6,11.75,11.4,11.58,22670544
11.57,11.67,11.21,11.27,23058800
11.28,11.54,11.26,11.5,20196746
11.5,11.63,11.4,11.58,21393904
11.63,11.85,11.6,11.77,26533704
11.72,11.73,11.5,11.54,20191372
11.52,11.65,11.49,11.55,15354937
11.51,11.95,11.5,11.93,37052072
11.93,12.23,11.68,12.19,40245064
12.13,12.36,12.05,12.16,25898198
12.13,12.25,12.05,12.21,23469016
12.26,12.57,12.08,12.31,41929856
12.28,12.39,12.12,12.32,29004024
12.33,12.45,12.18,12.19,30451548
12.1,12.18,11.58,11.6,50044968
11.55,11.76,11.47,11.75,32348568
11.81,11.81,11.62,11.66,23409868
11.95,11.97,11.46,11.48,45844472
11.48,11.48,10.4,10.67,48649912
10.63,10.96,10.52,10.92,26747946
10.96,11.25,10.83,11.21,31346872
11.21,11.4,11.15,11.26,28695432
11.17,11.35,11.13,11.2,19022728
11.14,11.59,11.13,11.55,32759838
11.55,11.55,11.2,11.3,25480536
11.35,12.14,11.15,12.1,69171016
12.01,12.26,11.75,12.1,64902796
12.01,12.26,11.87,12.15,44282168
12.11,12.72,12.01,12.63,70100080
12.6,13.12,12.32,13.06,90293688
12.69,13.16,12.59,12.64,83419760
12.59,12.69,12.31,12.45,52338568
12.46,12.87,12.42,12.54,56658780
12.43,12.8,12.36,12.57,39795840
12.43,12.64,12.02,12.22,63598996
12.2,12.34,12.06,12.3,32393778
12.29,12.29,11.87,11.92,41937736
11.78,11.89,11.24,11.34,45614512
11.36,11.56,11.35,11.49,23750894
11.47,11.73,11.41,11.7,24940072
11.75,11.75,11.42,11.59,20784188
11.59,11.81,11.59,11.73,23231676
11.63,11.65,11.43,11.59,22619306
11.64,11.79,11.62,11.73,22803220
11.72,11.98,11.56,11.97,35619012
11.96,12.02,11.76,11.82,26915672
11.78,11.95,11.72,11.73,19171872
11.73,11.86,11.5,11.8,26178008
11.8,11.97,11.69,11.85,28881748
11.85,11.97,11.73,11.77,21096494
11.75,11.83,11.57,11.76,29452624
11.7,11.75,11.56,11.59,22708636
11.62,11.96,11.59,11.95,49252552
11.98,12.11,11.91,12.04,39557576
12.06,12.09,11.83,11.96,27303152
11.97,12.26,11.85,12.23,46027552
12.18,12.3,12,12.06,40030960
12.01,12.08,11.89,11.94,25172836
11.94,12.04,11.87,12.03,24720180
12.07,12.45,11.96,12.3,63640816
12.2,12.24,12.05,12.18,28275532
12.08,12.12,11.78,11.88,37913764
11.84,11.84,11.56,11.57,25600700
11.61,11.87,11.57,11.78,18427484
11.66,11.8,11.59,11.75,18048836
11.65,12.18,11.65,12.06,36845484
11.87,12.02,11.65,11.66,30206540
11.66,11.74,11.28,11.32,29022448
11.32,11.48,11.21,11.32,12376838
11.3,11.48,11.19,11.47,15869036
11.4,11.51,11.33,11.45,15517954
11.48,12.38,11.3,11.95,59564744
11.9,12.18,11.84,12.1,49217184
12.43,12.56,12.02,12.19,53077912
12.23,12.44,12.04,12.4,53263372
12.34,12.88,12.27,12.74,84605696
12.6,12.7,12.25,12.31,55046660
12.31,12.57,12.23,12.42,35695952
12.4,12.64,12.18,12.23,38966960
12.21,12.32,12.03,12.17,23931620
12.19,12.35,11.7,11.8,35814124
11.74,11.89,11.55,11.82,22687038
11.74,11.94,11.69,11.91,14819778
11.93,12.03,11.84,11.92,18595252
11.92,11.96,11.6,11.76,21886320
11.79,12.13,11.74,12.12,25430494
12.12,12.26,11.96,12.22,44073800
12.22,12.23,12.01,12.04,22054744
12,12.08,11.5,11.57,32783624
11.65,11.71,11.58,11.7,15094025
11.71,11.83,11.41,11.51,34052608
11.51,11.56,11.29,11.32,22122000
11.28,11.37,11,11.1,24999520
11.1,11.38,11.01,11.25,19145304
11.22,11.24,11.09,11.19,17408650
11.21,11.37,11.17,11.25,21709548
11.25,11.33,11.22,11.29,15114480
11.28,11.5,11.1,11.45,30870970
11.39,11.47,11.27,11.32,23053092
11.36,11.44,11.2,11.22,17336360
11.15,11.21,11,11.01,18751254
11,11.08,10.81,11.02,14956765
11.01,11.1,10.56,10.6,22370312
10.55,10.62,10.12,10.48,18748572
10.43,10.46,10.28,10.38,14611547
10.4,10.44,10.2,10.28,21934680
10.27,10.28,9.8,9.87,25434252
9.81,10.13,9.8,10.04,14632002
10.04,10.17,9.92,10,10319082
10,10.15,10,10.14,8445366
10.24,10.36,10.16,10.3,16765402
10.31,10.4,10.15,10.16,12421730
10.16,10.25,10.11,10.21,9162800
10.2,10.29,10.15,10.17,9954696
10.18,10.24,9.82,9.86,17213788
9.91,10.03,9.8,10.02,11911864
10.02,10.12,9.96,10.04,8920643
10,10.22,10,10.14,11375780
10.16,10.25,10.14,10.2,10065261
10.21,10.24,10.05,10.08,8223038
10.05,10.15,10.05,10.14,6952657
10.15,10.17,10.02,10.03,7476976
10.09,10.1,9.96,10,7605129
10.01,10.09,9.98,10.06,6415610
10.1,10.34,10.07,10.3,17169738
10.93,11.33,10.71,10.83,76646856
10.76,11.07,10.76,10.87,52342320
10.8,10.8,10.53,10.57,37027244
10.54,10.59,10.35,10.5,23369586
10.5,10.79,10.43,10.71,22346968
10.7,10.81,10.38,10.48,23644114
10.42,10.63,10.41,10.52,15599160
10.5,10.77,10.5,10.63,18780544
10.68,11.07,10.66,10.96,35373560
10.95,11.08,10.89,10.99,28267568
11.01,11.34,11.01,11.26,40282960
11.29,11.5,11.13,11.29,42208752
11.33,11.44,11.18,11.42,29344396
11.43,11.43,11.18,11.19,26517928
11.16,11.32,11.05,11.23,26719486
11.27,11.32,11.08,11.14,15094236
11.18,11.23,10.99,11.02,17230956
10.96,11.12,10.71,10.79,20902134
10.68,10.88,10.66,10.75,14434365
10.72,11.14,10.65,11.09,22720092
11.02,11.1,10.87,10.97,16320247
10.99,11.16,10.83,10.86,16146942
10.75,11.14,10.69,11.1,21767234
11.18,11.27,10.98,11.02,18326536
11.03,11.11,10.92,11.06,13746355
11.01,11.33,11,11.24,24895252
11.2,11.26,11.07,11.15,14423420
10.99,11.27,10.93,11.15,22308292
11.13,11.49,11.1,11.43,36313552
11.5,11.55,11.26,11.44,33523492
11.48,11.95,11.1,11.2,49844228
11.26,11.31,10.3,11.01,33569532
10.75,11.59,10.68,11.56,43184132
11.39,11.48,10.86,10.95,43792564
11.28,11.45,10.88,11.01,39346528
10.95,11.09,10.71,10.8,25125764
10.38,10.48,9.8,9.96,39293240
10.07,10.26,9.98,10.18,17190356
10.32,10.63,10.21,10.37,22796464
10.37,10.42,10.24,10.31,10744714
10.45,10.61,10.39,10.57,18670984
10.55,11.01,10.46,10.91,35429152
10.97,12,10.93,12,85019568
12.2,12.67,12,12.3,120245336
12.14,12.64,12.1,12.44,86149432
12.33,12.77,12.31,12.63,80423624
12.46,12.86,12.4,12.52,74976320
12.71,12.77,12.2,12.57,68777856
12.58,12.78,12.28,12.76,67314872
12.79,12.98,12.43,12.55,83511408
12.56,12.88,12.5,12.59,57869392
12.42,12.53,12.07,12.25,99515272
12.29,13.08,12.13,13.03,119720872
12.89,12.93,12.54,12.61,72261536
12.55,12.92,12.41,12.62,71324832
12.5,12.86,12.39,12.58,54353788
12.55,12.74,12.42,12.44,43648104
12.31,12.7,12.3,12.57,42220208
12.45,12.52,12.25,12.4,39205348
12.36,13.43,12.33,12.91,108847448
12.91,13.17,12.81,13.06,64145892
12.6,12.72,11.75,11.75,95754056
11.41,12.07,11.22,11.98,53740488
12.14,12.4,11.98,12.16,59589952
11.88,11.96,11.57,11.61,50583848
11.69,12.06,11.55,11.89,44212472
11.86,12.05,11.8,11.93,30866562
11.98,12.29,11.8,11.81,43262012
11.5,11.66,11.34,11.61,33107772
11.69,11.89,11.44,11.49,28607950
11.4,11.62,11.23,11.32,35245012
11.39,11.58,11.3,11.57,28663628
11.62,11.72,11.39,11.5,29114136
11.39,11.43,11.23,11.32,24708408
11.36,11.4,11.28,11.32,15424181
11.31,11.37,10.65,10.87,38152792
10.86,10.95,10.6,10.61,24219904
10.75,11.01,10.64,10.99,30078276
11.2,11.42,11.09,11.31,42979408
11.3,11.35,10.86,10.88,30755022
10.86,11.11,10.83,11.04,18496820
11.1,11.45,10.9,11.41,34082320
11.31,11.4,11.23,11.35,20168892
11.36,11.43,11.08,11.1,20045330
11.28,11.37,11.16,11.28,22976608
11.36,11.48,11.2,11.46,27531538
11.35,11.74,11.3,11.7,40343552
11.69,11.75,11.55,11.55,32388818
11.62,11.92,11.55,11.83,40047424
11.83,11.87,11.69,11.8,30315576
11.79,11.79,11.54,11.63,28979720
11.66,11.82,11.37,11.56,32610192
11.5,11.57,11.4,11.48,19323748
11.45,11.8,11.45,11.79,35083232
11.77,11.87,11.56,11.75,26948368
11.69,11.82,11.52,11.68,25279712
11.6,12.23,11.6,12.04,62717316
12.02,12.27,11.88,12.14,52239248
12.3,12.56,12.07,12.45,63581200
12.37,12.4,12.16,12.31,38373444
12.32,12.33,11.95,11.99,40068452
11.96,12.14,11.9,11.95,22628944
11.9,12.14,11.62,11.64,43005412
11.65,11.73,11.41,11.49,24405320
11.56,11.71,11.5,11.53,19768328
